RELEASE DATE,AUCID,PUBLISHER,TITLE,SUPPLY,RESERVE_PRICE
5/25/16,CMZ0001,007 MAGAZINE AND ARCHIVE,007 Magazine Presents Goldfinger Portfolio #2,2,29.99
5/25/16,CMZ0002,451 MEDIA GROUP,Self Storage #5 (Of 6),1,3.99
5/25/16,CMZ0003,ABSTRACT STUDIOS,Rachel Rising #42,5,3.99
5/25/16,CMZ0004,ACME INK,Rock And Roll Biographies #5 (Iron Maiden),2,3.5
5/25/16,CMZ0005,ACTION LAB ENTERTAINMENT,Action Lab Dog Of Wonder #2 (Cover A Ted Brandt & Rosy Higgins),8,3.99
5/25/16,CMZ0006,ACTION LAB ENTERTAINMENT,Action Lab Dog Of Wonder #2 (Cover B Sam Ellis),6,4.99
5/25/16,CMZ0007,ACTION LAB ENTERTAINMENT,Princeless Raven The Pirate Princess #8,1,3.99
5/25/16,CMZ0008,AFTERSHOCK COMICS,Dreaming Eagles #5 (Of 6),4,3.99
5/25/16,CMZ0009,AFTERSHOCK COMICS,Strayer #4,6,3.99
5/25/16,CMZ0010,ALTERNATIVE COMICS,From Now On GN,9,14.95
5/25/16,CMZ0011,ALTERNATIVE COMICS,Incomplete Works GN,2,19.99
5/25/16,CMZ0012,AMERICAN GOTHIC PRESS,Famous Monsters Presents Monster World #4 (Of 4)(Cover A Piotr Kowalski),3,3.99
5/25/16,CMZ0013,ANTARCTIC PRESS,Ultracat #1,2,3.99
5/25/16,CMZ0014,ARCANA STUDIO,Untouchable GN,2,12.95
5/25/16,CMZ0015,ARCHIE COMIC PUBLICATIONS,Afterlife With Archie #9 (Cover A Francesco Francavilla),2,3.99
5/25/16,CMZ0016,ARCHIE COMIC PUBLICATIONS,Afterlife With Archie #9 (Cover B Dave Devries),1,3.99
5/25/16,CMZ0017,ARCHIE COMIC PUBLICATIONS,Archie Giant Comics Blast TP,6,7.99
5/25/16,CMZ0018,ARCHIE COMIC PUBLICATIONS,Sonic Universe #85 (Cover A Diana Skelly),8,3.99
5/25/16,CMZ0019,ARCHIE COMIC PUBLICATIONS,Sonic Universe #85 (Cover B Dan Schoening),5,3.99
5/25/16,CMZ0020,ARH COMIX,Queen Of Vampires #4 (Of 7),9,3.99
5/25/16,CMZ0021,AVATAR PRESS,Crossed Volume 16 HC,12,27.99
5/25/16,CMZ0022,AVATAR PRESS,Crossed Volume 16 TP,15,19.99
5/25/16,CMZ0023,BLISS ON TAP,Future Proof #11,5,3.99
5/25/16,CMZ0024,BLUE JUICE COMICS,Accelerators #11 (Relativity #1 Of 5),2,3.99
5/25/16,CMZ0025,BONGO COMICS,Simpsons Illustrated #23,7,4.99
